company_id,company_name,domain,tier,score,vla_classification,vla_evidence_url,vla_evidence_quote,one_line_description,vertical
c376,Agile Robots,agile-robots.com,2,66,vla_likely,https://www.therobotreport.com/agile-robots-launches-agile-one-industrial-humanoid/,layered approach to AI using teleoperation simulation and video data,Industrial humanoid robotics Munich DLR spinout,humanoid_industrial
c385,Addverb Technologies,addverb.com,2,66,vla_likely,https://inc42.com/features/addverbs-humanoid-bet-how-this-noida-robotics-startup-is-building-physical-ai/,vision-language-action VLA models enable robots to perform complex tasks,Warehouse automation and humanoid Reliance-backed Noida,humanoid_industrial
c402,Aigen,aigen.io,2,63,vla_active,https://www.aigen.io/,post-training NVIDIA Cosmos open world foundation models on specialized data,Solar-powered weeding rover with NVIDIA Cosmos post-training,agriculture
c360,Holiday Robotics,,2,63,vla_active,https://en.wowtale.net/2025/07/13/231588/,Uses Nvidia Isaac GR00T platform for full-body humanoid control with natural language processing,Korean manufacturing humanoid platform using NVIDIA GR00T,humanoid_industrial
c403,Burro,burro.ai,2,61,vla_likely,https://burro.ai/careers,Senior Robotics AI Engineer,"Autonomous carts for specialty-crop ag, Pennsylvania",agriculture
c368,Spirit AI (Qianxun),qianxun-ai.com,2,60,vla_active,https://eu.36kr.com/en/p/3701216103281408,Spirit v1.5 scored 66.09 on RoboChallenge Table30 surpassing Pi0.5 in success rate,"Chinese humanoid foundry, self-developed Spirit VLA model, Pre-A+",humanoid_general
c351,Trener Robotics,trenerrobotics.com,2,60,vla_active,,,"Norway/SF physical-AI skill platform for industrial robots, Series A",mobile_manipulator_other
c398,EndoQuest,endoquestrobotics.com,2,58,vla_likely,,,Endoluminal flexible surgical robot integrating Nvidia IGX Thor,surgical_medical
c380,Neuracore,neuracore.com,2,57,vla_likely,https://www.neuracore.com/,Train imitation and reinforcement learning models on robot foundation models without custom infrastructure,"London cloud-native robot learning platform, €2.5M pre-seed",research_only
c446,Nomadic AI,nomadic.ai,2,55,vla_active,https://techcrunch.com/2026/03/31/nomadic-raises-8-4-million-to-wrangle-the-data-pouring-off-avs/,Platform turns footage into structured searchable dataset through collection of vision language models,"AV/robotics fleet data analysis platform, $8.4M seed",mobile_manipulator_other
c395,Theator,theator.io,2,54,vla_active,https://theator.io/,applies computer vision and large vision-language models to break down surgeries,"Surgical intelligence platform, large vision-language models, San Mateo/Israel",surgical_medical
c254,General Trajectory,generaltrajectory.com,2,52,vla_active,https://www.ycombinator.com/launches/MyN-general-trajectory-reasoning-models-for-robotics,Fine-tunes vision-language models to output low-level robotic controls for picking sorting palletization,YC W25 reasoning + VLM foundation model for dexterous robot manipulation,mobile_manipulator_warehouse
c428,Red Cat Holdings (Teal),redcatholdings.com,2,51,vla_possible,https://redcat.red/,Black Widow soldier-portable small UAS; secure edge AI,US Army-approved soldier-portable Black Widow drone maker,defense_dual_use
