company_id,company_name,domain,origins,source_count,primary_source_type,primary_source_url,primary_source_quote,all_sources,notes
c438,Deft Robotics,deftai.co,2e,1,recent_funding,https://en.wowtale.net/2026/02/08/233492/,San Francisco-based Deft Robotics raised undisclosed seed funding from Rainfall Ventures and Korean VC firm SpringCamp,https://en.wowtale.net/2026/02/08/233492/,Founded 2024 by Jason Shin (ex-Hyundai/Motional) + Shane Lee (ex-Tesla); wheeled humanoid drop-in workcells
c373,Dorabot,dorabot.com,2b,1,china_news,https://www.cbinsights.com/company/dorabot,"Dorabot develops AI and computer vision systems for automated parcel sorting and logistics planning. Shenzhen-based; pick-and-place systems, mobile robots.",https://www.cbinsights.com/company/dorabot,Shenzhen warehouse manipulation
c278,DroneTector,dronetector.com,2a,1,yc,https://www.dronetector.com/,Technology to detect and track hostile drones,https://www.dronetector.com/,YC W26 counter-drone
c444,Eka Robotics,eka.com,2e,1,stealth_emerging,https://pitchbook.com/profiles/company/1326584-71,"Eka Robotics was founded in 2025 and is headquartered in Cambridge, MA. The company is a developer of transport robotics systems",https://pitchbook.com/profiles/company/1326584-71,Founded 2025 Cambridge MA; AGVs + control software + fleet mgmt
c443,Ember Robotics,ember.bot,2e,1,jobs_signal,https://aibusiness.com/verticals/former-tesla-ai-lead-launches-robotics-company-alongside-ex-cruise-ceo,"Ember builds hardware and system observability tools for robots and IoT devices, founded by former Tesla Autopilot engineers",https://aibusiness.com/verticals/former-tesla-ai-lead-launches-robotics-company-alongside-ex-cruise-ceo,Ex-Tesla Autopilot founders; observability for robots
c424,Enchanted Tools,enchanted.tools,2d,1,consumer_home,https://www.therobotreport.com/ces-2025-recap-noteworthy-robots-at-this-years-show/,Enchanted Tools' Mirokai robot from French company aims to transform healthcare; companion robot in sensitive environments,https://www.therobotreport.com/ces-2025-recap-noteworthy-robots-at-this-years-show/,Mirokai social/companion robot; healthcare adjacent; first customer delivered 2025
c398,EndoQuest,endoquestrobotics.com,2d,1,surgical,https://www.massdevice.com/endoquest-ai-vision-surgical-robot-nvidia/,"EndoQuest announced plans in October 2025 to integrate Nvidia's IGX Thor platform into its next-generation surgical robotic system focusing on visualization, robotic control and secure cloud services",https://www.massdevice.com/endoquest-ai-vision-surgical-robot-nvidia/,Endoluminal surgical robot; Nvidia AI vision integration
c303,Endox,endoxai.com,2a,1,accelerator,https://www.massrobotics.org/startups/massrobotics-resident-startups/,Egocentric data provider for contextual AI and robotics training,https://www.massrobotics.org/startups/massrobotics-resident-startups/,MassRobotics resident
c379,Energy Robotics,energy-robotics.com,2b,1,europe_news,https://www.eu-startups.com/2025/10/german-startup-energy-robotics-raises-e11-5-million-to-advance-autonomous-robot-and-drone-inspection-software/,Darmstadt's Energy Robotics announced €11.5 million Series A funding co-led by Blue Bear Capital and Climate Investment.,https://www.eu-startups.com/2025/10/german-startup-energy-robotics-raises-e11-5-million-to-advance-autonomous-robot-and-drone-inspection-software/,"Darmstadt inspection software for robots/drones — software-only, niche"
c372,Engine AI,engineai.com.cn,2b,1,china_news,https://english.news.cn/20260109/bab6612656664145bb5becc3781edd59/c.html,Engine AI and Robotera each shipped over 500 units in 2025; among China's top humanoid producers.,https://english.news.cn/20260109/bab6612656664145bb5becc3781edd59/c.html,Shenzhen humanoid
c451,Eureka Robotics,eurekarobotics.com,2e,1,recent_funding,https://techfundingnews.com/eureka-robotics-brainchild-of-ikeabot-founders-raises-4-25m/,"Eureka Robotics, the brainchild of IkeaBot founders raises $4.25M",https://techfundingnews.com/eureka-robotics-brainchild-of-ikeabot-founders-raises-4-25m/,Industrial dexterous manipulation; NTU spinout
c336,Farmwise,farmwise.io,2a,1,vc_portfolio,https://www.gv.com/portfolio/,Autonomous farm equipment,https://www.gv.com/portfolio/,GV portfolio
c434,Fauna Robotics,faunarobotics.com,2e,1,stealth_emerging,https://theaiinsider.tech/2026/01/28/new-yorks-fauna-robotics-emerges-from-stealth-with-sprout-a-lightweight-and-developer-ready-humanoid-platform/,"Fauna Robotics emerged from stealth with Sprout, a compact humanoid robot designed to operate safely around people",https://theaiinsider.tech/2026/01/28/new-yorks-fauna-robotics-emerges-from-stealth-with-sprout-a-lightweight-and-developer-ready-humanoid-platform/,NYC; co-founded by NYU's Lerrel Pinto + Josh Merel; later reported as acquired by Amazon Mar 2026 — still mark as target until confirmed
c363,FingerVision,fingervision.jp,2b,1,japan_news,https://www.fingervision.jp/en/post/20251007,"FingerVision R1 is changing the game in robotics with its groundbreaking tactile sensor technology, the world's first implementation of industrial-grade tactile sensors.",https://www.fingervision.jp/en/post/20251007,Tokyo tactile sensing for food/manipulation; commercial
c262,Flywheel AI,useflywheel.ai,2a,1,yc,https://www.extruct.ai/data-room/ycombinator-companies-s25/,Waymo for excavators,https://www.extruct.ai/data-room/ycombinator-companies-s25/,YC S25 teleop construction
c357,Gather AI,gather.ai,2a,1,news_other,https://newmarketpitch.com/blogs/news/robotics-funding-news,Autonomous warehouse drones and machine vision,https://newmarketpitch.com/blogs/news/robotics-funding-news,Warehouse drones
c381,General Intuition,generalintuition.com,2b,1,europe_news,https://www.eu-startups.com/2025/10/swiss-ai-startup-general-intuition-secures-e114-million-to-bridge-gaming-robotics-and-drones/,"Swiss AI startup General Intuition secures €114 million to bridge gaming, robotics, and drones.",https://www.eu-startups.com/2025/10/swiss-ai-startup-general-intuition-secures-e114-million-to-bridge-gaming-robotics-and-drones/,Switzerland; world model for robotics+drones
c254,General Trajectory,generaltrajectory.com,2a,1,yc,https://www.extruct.ai/ycombinator-companies/w25/,Reasoning models for robotics,https://www.extruct.ai/ycombinator-companies/w25/,YC W25 robotics reasoning model
c365,GITAI,gitai.tech,2b,1,japan_news,https://itbusinesstoday.com/tech/top-10-robotics-companies-driving-japans-innovation-in-2025/,"GITAI is a rising star in space robotics that creates systems for satellite servicing, space station tasks, and exploration missions.",https://itbusinesstoday.com/tech/top-10-robotics-companies-driving-japans-innovation-in-2025/,Japan/US space manipulation; arms-based
c409,Gravis Robotics,gravisrobotics.com,2d,1,construction,https://fortune.com/2025/11/28/gravis-robotics-fundraise-23m-construction-labor-shortage-ai-automation-equipment/,"Gravis Robotics, a Zurich-based startup that is turning heavyweight construction machines into autonomous robots, has raised $23 million",https://fortune.com/2025/11/28/gravis-robotics-fundraise-23m-construction-labor-shortage-ai-automation-equipment/,$23M raised Nov 2025; AI autonomy for heavy construction equipment
c276,GrazeMate,grazemate.com,2a,1,yc,https://grazemate.com/,Robot Cowboys that Herd Cattle with AI Drones,https://grazemate.com/,YC W26 ag drone
c404,Greeneye Technology,greeneye.ag,2d,1,agriculture,https://igrownews.com/autonomous-weeding-robots-drew-more-precision-ag-investment-than-any-other-category-in-2025/,"Greeneye utilizes Artificial Intelligence to disrupt the agricultural pest control process, transitioning from broadcast spraying to precise and selective spraying",https://igrownews.com/autonomous-weeding-robots-drew-more-precision-ag-investment-than-any-other-category-in-2025/,$20M Series B in April 2025; AI-driven selective spraying
c305,GreenSight,greensightag.com,2a,1,accelerator,https://www.massrobotics.org/startups/massrobotics-resident-startups/,Autonomous drone systems and AI,https://www.massrobotics.org/startups/massrobotics-resident-startups/,MassRobotics resident
c347,Grodi,,2a,1,news_eu,https://tech.eu/2026/02/25/grodi-raises-eur25m-led-by-swanlaab-to-advance-greenhouse-automation/,Greenhouse automation,https://tech.eu/2026/02/25/grodi-raises-eur25m-led-by-swanlaab-to-advance-greenhouse-automation/,EU ag robotics
c259,HABIT Robotics,habitrobotics.com,2a,1,yc,https://www.extruct.ai/ycombinator-companies/x25/,intelligent robotics reshaping neighborhood services,https://www.extruct.ai/ycombinator-companies/x25/,YC X25 service robots
c374,Hai Robotics,hairobotics.com,2b,1,china_news,https://roboticsandautomationnews.com/2025/10/03/top-20-chinese-warehouse-robotics-companies-geekplus-turns-its-attention-to-domestic-competitors/,"Hai Robotics specializes in warehouse automation, offering HaiPick, the world's first Autonomous Case-handling Mobile Robot system.",https://roboticsandautomationnews.com/2025/10/03/top-20-chinese-warehouse-robotics-companies-geekplus-turns-its-attention-to-domestic-competitors/,Shenzhen warehouse automation; case-handling robotics
c306,Haply Robotics,haply.co,2a,1,accelerator,https://www.massrobotics.org/startups/massrobotics-resident-startups/,Haptic robotic products with touch feedback,https://www.massrobotics.org/startups/massrobotics-resident-startups/,MassRobotics resident
c307,Hathaway Robotics,hathaway.ai,2a,1,accelerator,https://www.massrobotics.org/startups/massrobotics-resident-startups/,3D-printed modular heavy-duty UGVs and AMRs with AI conversion software,https://www.massrobotics.org/startups/massrobotics-resident-startups/,MassRobotics resident
c439,Hexagon Robotics,hexagon-robotics.com,2e,1,recent_funding,https://www.therobotreport.com/top-10-robotics-developments-march-2026/,"BMW has deployed wheeled humanoids from Hexagon Robotics at its plant in Leipzig, Germany",https://www.therobotreport.com/top-10-robotics-developments-march-2026/,Wheeled humanoid AEON; deployed at BMW Leipzig
c271,HLabs,hlaboratories.com,2a,1,yc,https://www.hlaboratories.com/,industrial supply chain for building robots in the USA,https://www.hlaboratories.com/,YC W26 robot infra
c360,Holiday Robotics,,2b,1,korea_news,https://en.wowtale.net/2025/07/13/231588/,"Holiday Robotics, a developer of AI humanoid robots for manufacturers, secured 17.5 billion won ($13 million) in a seed round.",https://en.wowtale.net/2025/07/13/231588/,Founded by ex-Sualab co-founder Song Kiyoung; manufacturing humanoids
c269,Human Archive,humanarchive.ai,2a,1,yc,https://www.humanarchive.ai/,Multimodal data provider for robotics learning,https://www.humanarchive.ai/,YC W26 robot data
