company_id,company_name,domain,tier,score,vla_classification,vla_evidence_url,vla_evidence_quote,one_line_description,vertical
c133,Hello Robot,hello-robot.com,2,65,vla_active,https://github.com/hello-robot/stretch_ai,Robot policies and integrated AI for the Stretch mobile manipulator,Stretch 3 open-source mobile manipulator for research/home,research_only
c002,Robotec.ai,robotec.ai,2,60,vla_likely,https://github.com/RobotecAI/openvla,OpenVLA fork plus rai-agriculture-demo for Physical AI framework,Polish ROS2 simulation and digital-twin services firm,research_only
c036,Vassar Robotics,vassarrobotics.com,2,60,vla_active,https://github.com/vassar-robotics/Shoebill-Leader-Follower-Robotic-Arms,Robotic arms with improvements over SO-101 design,YC X25 $200 home humanoid arm dev kit,consumer_home
c140,Locus Robotics,locusrobotics.com,2,59,vla_likely,https://locusrobotics.com/careers,PhD Research Intern — AI & Computer Vision on production robotic systems,"Warehouse AMRs alongside human pickers, Series F unicorn",mobile_manipulator_warehouse
c249,Foundation,foundation.bot,2,57,vla_likely,https://foundation.bot/,Cortex — the AI that powers Phantom's perception learning and autonomy,"Phantom humanoid + Cortex AI for industrial/defense work, SF",humanoid_industrial
c025,Cortex AI,cortexrobot.ai,2,55,vla_active,https://github.com/cortexairobot/Isaac-GR00T,Isaac-GR00T fork by cortexairobot org,Egocentric and robot data marketplace for embodied AI,research_only
c029,mbodi ai,mbodi.ai,2,55,vla_active,https://github.com/mbodiai/embodied-agents,Seamlessly integrate state-of-the-art transformer models into robotics stacks,Embodied AI agents teach industrial robots,research_only
c026,Almond,almond.bot,2,55,vla_active,https://github.com/almond-bot/lerobot,LeRobot fork pushed Oct 2025,Dual-arm manipulation robot for physical AI,research_only
c050,Industrialnext,industrialnext.com,2,55,vla_likely,https://github.com/industrialnext,40 public repos including active flexiv_ros2 lerobot mujoco_menagerie forks,"AI-autopilot for factory automation, YC-backed manufacturing",mobile_manipulator_other
c074,IO-AI Tech,io-ai.tech,2,55,vla_active,https://github.com/ioai-tech/lerobot,LeRobot fork active 2025-2026 with humanoid controller and OpenLoong descriptions,Embodied AI humanoid platform with active LeRobot fork,humanoid_general
c004,Niryo Robotics,niryo.com,2,55,vla_likely,https://github.com/NiryoRobotics/lerobot,LeRobot fork pushed October 2025 alongside ned_ros and ned3pro,Educational and industrial six-axis cobots France,mobile_manipulator_other
c039,Positronic Robotics,positronic.ro,2,55,vla_active,https://github.com/Positronic-Robotics/openpi,Active openpi gr00t and positronic-franka forks pushed 2026,Python-native robotics ML stack with active VLA forks,research_only
c071,Qrafty AI,qrafty-ai.com,2,55,vla_active,https://github.com/qrafty-ai/lerobot,LeRobot fork pushed April 2026 with openarm and teleop_xr repos,US LeRobot integrator small team teleop and openarm,research_only
c037,SatiNav Robotics,satinavrobotics.com,2,55,vla_active,https://github.com/satinavrobotics/openpi,openpi (satipi) fork plus MASt3R-SLAM and BiSeNet forks,Hungarian outdoor mobile robotics modular stack,mobile_manipulator_other
c070,Servo Develop / Fashion Star,fashionrobo.com,2,55,vla_active,https://github.com/servodevelop/lerobot,Multiple LeRobot bimanual viola/cello/violin kit repos pushed 2025,Chinese servo vendor pivoting to LeRobot kits,research_only
c047,Solo Tech,getsolo.tech,2,55,vla_active,https://github.com/GetSoloTech/solo-robotics,SmolVLA ACT PI0 TDMPC support compatible with LeRobot HF,Privacy-first on-device robot intelligence platform,research_only
c009,Wandelbots,wandelbots.com,2,55,vla_likely,https://github.com/wandelbotsgmbh,Wandelbots Everyone can work with robots NOVA SDK,German industrial robot OS NOVA platform,humanoid_industrial
