company_id,company_name,domain,origins,source_count,primary_source_type,primary_source_url,primary_source_quote,all_sources,notes
c088,Chef Robotics,chefrobotics.ai,1b|1c,3,vc_portfolio,https://www.constructcap.com/portfolio,Automates food production,https://www.constructcap.com/portfolio;https://www.therobotreport.com/rbr50-2025/;https://www.chefrobotics.ai/post/weve-raised-43-1m-to-accelerate-our-ai-enabled-robot-deployments,Construct Capital portfolio | Food production | Food assembly robotics SF
c091,Bedrock Robotics,bedrockrobotics.com,1b|1c,2,vc_portfolio,https://8vc.com/companies,automating specialized heavy equipment in the construction and earth-moving sectors,https://8vc.com/companies;https://www.constructiondive.com/news/bedrock-robotics-raise-ai-automation-funding/811982/,8VC portfolio - construction autonomy | Ex-Waymo founders construction equipment autonomy
c125,Beewise,beewise.ag,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/;https://agfundernews.com/from-experimentation-to-impact-farm-robotics-top-fundraises-in-2025,Autonomous beehive robotics | Robotic beehive Israeli ag
c116,Carbon Robotics,carbonrobotics.com,1b|1c,2,vc_portfolio,https://agfundernews.com/brief-nvidias-venture-arm-invests-in-autonomous-weeding-startup-carbon-robotics,autonomous laser-weeding platform for specialty crops,https://agfundernews.com/brief-nvidias-venture-arm-invests-in-autonomous-weeding-startup-carbon-robotics;https://newmarketpitch.com/blogs/news/robotics-funding-analysis,NVentures-backed - ag robotics | AI computer vision laser weed elimination
c099,Collaborative Robotics,co.bot,1b,2,vc_portfolio,https://www.sequoiacap.com/our-companies/,backed by Sequoia Capital General Catalyst Khosla Ventures,https://www.sequoiacap.com/our-companies/;https://www.therobotreport.com/rbr50-2025/,Sequoia/Khosla-backed mobile cobot | Mobile cobot
c025,Cortex AI,cortexrobot.ai,1a|1c,2,gh_fork,https://github.com/cortexairobot,Isaac-GR00T and LeRobot dataset visualizer for robot learning,https://github.com/cortexairobot;https://www.startus-insights.com/innovators-guide/embodied-ai-startups/,US; Isaac-GR00T + LeRobot forks | Egocentric data for robotics foundation models
c001,D-Robotics,d-robotics.cc,1a|1c,2,gh_fork,https://github.com/D-Robotics/openpi,Add x86 server and training config based official openpi,https://github.com/D-Robotics/openpi;https://www.therobotreport.com/galbot-brings-in-300m-to-scale-mobile-manipulator-deployments/,China; RDK robotics development kits and ROS2 systems | Hardware/software infrastructure for consumer robots
c107,Dexterity,dexterity.ai,1b,2,vc_portfolio,https://a16z.com/portfolio/,Designs autonomous robots for warehousing and supply chains,https://a16z.com/portfolio/;https://www.therobotreport.com/rbr50-2024/,a16z portfolio - warehouse manipulation | Warehouse manipulation
c081,FieldAI,fieldai.com,1b|1c,2,vc_portfolio,https://www.khoslaventures.com/portfolio/,Transforming industries through on-edge robotic autonomy,https://www.khoslaventures.com/portfolio/;https://techcrunch.com/2025/08/20/fieldai-raises-405m-to-build-universal-robot-brains/,Khosla portfolio - foundation models for robotics | Foundational embodied AI models for any robot
c117,Flexion,flexion.ai,1b|1c,2,vc_portfolio,https://blogs.nvidia.com/blog/nvidia-investments/,applying these same techniques at scale to deploy robots in real-world environments,https://blogs.nvidia.com/blog/nvidia-investments/;https://news.crunchbase.com/venture/robotic-brain-building-startup-flexion-raise/,NVentures-backed | Synthetic data physics simulations robot brain
c005,HEBI Robotics,hebirobotics.com,1a|1b,2,gh_fork,https://github.com/HebiRobotics,LeRobot Making AI for Robotics more accessible,https://github.com/HebiRobotics;https://www.therobotreport.com/rbr50-2025/,United States; APIs for customizable robots | Modular robotics components/SDKs
c139,LimX Dynamics,limxdynamics.com,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/;https://blog.robozaps.com/b/humanoid-robot-companies,Humanoid/quadruped maker | JD.com investor humanoid bipedal
c029,mbodi ai,mbodi.ai,1a|1b,2,gh_fork,https://github.com/mbodiai,Continual Learning for Embodied Agents; embodied-agents,https://github.com/mbodiai;https://www.therobotreport.com/rbr50-2025/,United States; LeRobot fork | Embodied AI agent platform
c114,Mind Robotics,mindrobotics.com,1b|1c,2,vc_portfolio,https://a16z.com/announcement/investing-in-mind-robotics/,building an industrial robotics platform from the ground up,https://a16z.com/announcement/investing-in-mind-robotics/;https://techcrunch.com/2026/03/11/rivian-mind-robotics-series-a-500m-fund-raise-industrial-ai-powered-robots/,a16z + Accel co-led $500M Series A | Rivian spin-out for industrial AI robots
c142,Mytra,mytra.ai,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,3D lattice storage system that maximizes density,https://www.therobotreport.com/rbr50-2025/;https://mytra.ai/news/mytra-raises-120m-series-c,Warehouse storage robotics; RBR50 Startup of the Year | Warehouse AI material handling platform
c058,Nomagic,nomagic.ai,1a|1b,2,gh_fork,https://github.com/nomagiclab/openvla,OpenVLA an open-source vision-language-action model,https://github.com/nomagiclab/openvla;https://www.khoslaventures.com/portfolio/,Poland; warehouse picking Physical AI | Khosla portfolio - warehouse manipulation
c011,Opentrons,opentrons.com,1a|1b,2,gh_fork,https://github.com/Opentrons,Lab robots for Biologists,https://github.com/Opentrons;https://www.khoslaventures.com/portfolio/,United States; lab automation; LeRobot fork | Khosla portfolio - lab automation
c144,Pickle Robot,picklerobot.com,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,Pickle Robot unloads more than 1.5M lb of Randa apparel,https://www.therobotreport.com/rbr50-2025/;https://www.globenewswire.com/news-release/2025/06/24/3104110/0/en/Pickle-Robot-Hires-New-VP-of-Engineering-Adding-50-New-Engineers-by-September-as-Warehouse-Robotics-Demand-Surges.html,Trailer unloading manipulation | Truck unloading warehouse robotics
c094,Saronic,saronic.com,1b|1c,2,vc_portfolio,https://8vc.com/companies,unmanned surface vehicles that enable maritime security,https://8vc.com/companies;https://www.businessstory.org/2026/03/31/autonomous-vessel-startup-saronic-secures-1-75-billion-in-competition-to-upgrade-u-s-armed-forces/,8VC portfolio - maritime USVs | Autonomous surface vessels naval
c172,Sereact,sereact.ai,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2024/,RBR50 Robotics Innovation Awards 2024 winner,https://www.therobotreport.com/rbr50-2024/;https://theaiinsider.tech/2026/04/27/sereact-raises-110m-in-series-b-funding-to-expand-warehouse-robotics-platform/,Pick-and-place AI software | Cortex 2.0 warehouse robotics platform Germany
c100,Shield AI,shield.ai,1b|1c,2,vc_portfolio,https://a16z.com/american-dynamism-50-2025/,Enables military drones and aircraft to operate autonomously,https://a16z.com/american-dynamism-50-2025/;https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech/,a16z American Dynamism 50 | Hivemind autonomy stack across drones aircraft
c199,4AG Robotics,4agrobotics.com,1c,1,funding_news,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,$29M Series B Jul 2025 autonomous mushroom harvesting,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,British Columbia mushroom picking trimming
c123,ABB Robotics,abb.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/,Industrial robot maker
c154,Advanced Construction Robotics,constructionrobots.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2024/,RBR50 Robotics Innovation Awards 2024 winner,https://www.therobotreport.com/rbr50-2024/,Construction rebar robots
c104,Aerodome,aerodome.com,1b,1,vc_portfolio,https://a16z.com/portfolio/,Deploys automated video-equipped drones for emergency response,https://a16z.com/portfolio/,a16z portfolio - public safety drones
c228,AgiBot,agibot.com,1c,1,humanoid_tracker,https://www.scmp.com/tech/tech-trends/article/3307356/chinas-humanoid-robot-sector-enters-mass-production-unitree-agibot-among-pack,mass production with Unitree among pack JD.com investor,https://www.scmp.com/tech/tech-trends/article/3307356/chinas-humanoid-robot-sector-enters-mass-production-unitree-agibot-among-pack,Shanghai Zhiyuan humanoid
c209,Agreenculture,agreenculture.net,1c,1,funding_news,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,$7.1M Series A Dec 2025,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,Agricultural autonomy France
c072,AI Foundry,aifoundry.org,1a,1,gh_fork,https://github.com/aifoundry-org,Open ecosystem of shareable building blocks; LeRobot fork,https://github.com/aifoundry-org,United States
c026,Almond,almond.bot,1a,1,gh_fork,https://github.com/almond-bot,Robotic manipulation Axol IK solver and Axol-VR teleoperation,https://github.com/almond-bot,United States; LeRobot fork
c155,Ambi Robotics,ambirobotics.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2024/,RBR50 Robotics Innovation Awards 2024 winner,https://www.therobotreport.com/rbr50-2024/,Parcel sortation manipulation
c097,AMP Robotics,amprobotics.com,1b,1,vc_portfolio,https://www.sequoiacap.com/our-companies/,changing the face of recycling with high-speed guided robotics,https://www.sequoiacap.com/our-companies/,Sequoia portfolio - recycling robots
c084,Anduril,anduril.com,1b,1,vc_portfolio,https://www.luxcapital.com/companies,A new kind of defense company,https://www.luxcapital.com/companies,Lux portfolio - autonomous defense systems
c220,Anvil Robotics,anvilrobotics.com,1c,1,funding_news,https://news.crunchbase.com/robotics/physical-ai-custom-robot-builder-seed-funding-anvil/,$5.5M seed April 2026 Legos for robots modular,https://news.crunchbase.com/robotics/physical-ai-custom-robot-builder-seed-funding-anvil/,Modular custom robot platform Taiwan
c085,Applied Intuition,appliedintuition.com,1b,1,vc_portfolio,https://www.luxcapital.com/companies,powering the future of physical AI building tools and infrastructure,https://www.luxcapital.com/companies,Lux portfolio - autonomy software
c061,ARTEFACTS,artefacts.com,1a,1,gh_fork,https://github.com/art-e-fact,Isaac GR00T fork - cloud robotics simulation testing platform,https://github.com/art-e-fact,Japan
c124,Asensus Surgical,asensus.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/,Surgical robotics
c067,Astria,astria.ai,1a,1,gh_fork,https://github.com/astriaai,Stable Diffusion fine-tuning Dreambooth; LeRobot fork,https://github.com/astriaai,LeRobot fork
c211,Asylon,asylonrobotics.com,1c,1,funding_news,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,$24M Series B Jul 2025,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,Drone-based perimeter security
c102,Atomic Industries,atomic.industries,1b,1,vc_portfolio,https://a16z.com/american-dynamism-50-2025/,Modernizes tool and die manufacturing using AI-driven automation,https://a16z.com/american-dynamism-50-2025/,a16z American Dynamism 50
c093,Augment,augment.com,1b,1,vc_portfolio,https://8vc.com/portfolio/,building fully autonomous AI assistants for the logistics industry,https://8vc.com/portfolio/,8VC portfolio - logistics autonomy
c221,Augmentus,augmentus.tech,1c,1,funding_news,https://www.therobotreport.com/top-10-robotics-developments-of-july-2025/,$11M Series A+ no-code robotics solutions,https://www.therobotreport.com/top-10-robotics-developments-of-july-2025/,No-code robotics for manufacturers
c122,Augury,augury.com,1b,1,vc_portfolio,https://eclipse.capital/portfolio/,providing machine health insights,https://eclipse.capital/portfolio/,Eclipse Ventures portfolio - industrial AI
c098,Aurora,aurora.tech,1b,1,vc_portfolio,https://www.sequoiacap.com/our-companies/,delivers the benefits of self-driving technology safely and efficiently,https://www.sequoiacap.com/our-companies/,Sequoia portfolio - autonomous trucking
c060,Aurorain,,1a,1,gh_fork,https://github.com/aurorain-ai,Data-centric AI engineering platform; LeRobot fork,https://github.com/aurorain-ai,United States
c244,Avidbots,avidbots.com,1c,1,industry_news,https://avidbots.com/,autonomous floor cleaning commercial floor scrubber,https://avidbots.com/,Neo cleaning robot
c023,BAAI,baai.ac.cn,1a,1,hf_model_card,https://huggingface.co/BAAI/RoboBrain2.0-7B,RoboBrain2.0 series VLA models 3B 7B 32B,https://huggingface.co/BAAI/RoboBrain2.0-7B,Beijing Academy of AI; commercial-adjacent foundation
c035,Binabik,binabik.ai,1a,1,gh_fork,https://github.com/binabik-ai,Building the foundations of Agentic Physical AI,https://github.com/binabik-ai,Switzerland; Isaac-GR00T fork
c204,Bonsai Robotics,bonsairobotics.ai,1c,1,industry_news,https://agfundernews.com/from-experimentation-to-impact-farm-robotics-top-fundraises-in-2025,orchard automation specialist top farm robotics fundraises,https://agfundernews.com/from-experimentation-to-impact-farm-robotics-top-fundraises-in-2025,Orchard automation acquired farm-ng
c243,Brain Corp,braincorp.com,1c,1,industry_news,https://www.vanguardsv.com/2025/08/the-future-of-janitorial-services-robotics-ai-and-automation/,Tennant invested $32M next-gen AI autonomous navigation,https://www.vanguardsv.com/2025/08/the-future-of-janitorial-services-robotics-ai-and-automation/,Cleaning robotics autonomy SaaS
c115,Bright Machines,brightmachines.com,1b,1,vc_portfolio,https://blogs.nvidia.com/blog/nvidia-investments/,smart robotics and AI-driven software startup,https://blogs.nvidia.com/blog/nvidia-investments/,NVentures-backed - electronics assembly
c156,Brightpick,brightpick.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2024/,Autopicker is the first commercially available AMR that can pick,https://www.therobotreport.com/rbr50-2024/,Warehouse picking AMR; 2024 Application of the Year
c105,Built Robotics,builtrobotics.com,1b,1,vc_portfolio,https://a16z.com/portfolio/,Transforms commercial excavators into autonomous trenching robots,https://a16z.com/portfolio/,a16z portfolio - construction autonomy
c157,Capra Robotics,caprarobotics.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2024/,RBR50 Robotics Innovation Awards 2024 winner,https://www.therobotreport.com/rbr50-2024/,Outdoor mobile robots
c192,Capstan Medical,capstanmedical.com,1c,1,industry_news,https://www.therobotreport.com/10-surgical-robotics-companies-follow-2025/,Capstan Platform mentioned in 10 surgical robotics to watch,https://www.therobotreport.com/10-surgical-robotics-companies-follow-2025/,Cardiac mitral valve repair surgical robot
c096,Chaos Industries,chaosindustries.com,1b,1,vc_portfolio,https://8vc.com/companies,mission-driven world-class engineers solving critical defense and industrial problems,https://8vc.com/companies,8VC portfolio - defense electronics
c246,Civ Robotics,civrobotics.com,1c,1,funding_news,https://roboticsandautomationnews.com/2025/07/01/civ-robotics-secures-7-5-million-to-power-robot-led-surveying/92478/,$7.5M Series A autonomous surveying renewable solar,https://roboticsandautomationnews.com/2025/07/01/civ-robotics-secures-7-5-million-to-power-robot-led-surveying/92478/,CivDots construction surveying robot
c126,Clearpath Robotics,clearpathrobotics.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2025/,Clearpath Robotics by Rockwell Automation,https://www.therobotreport.com/rbr50-2025/,Mobile research robots
c232,Clone Robotics,clonerobotics.com,1c,1,humanoid_tracker,https://blog.robozaps.com/b/humanoid-robot-companies,Warsaw Poland muscle-powered humanoid,https://blog.robozaps.com/b/humanoid-robot-companies,Synthetic muscle humanoid
c190,CMR Surgical,cmrsurgical.com,1c,1,funding_news,https://www.eu-startups.com/2025/04/more-than-just-a-robot-surgical-robotics-company-cmr-surgical-secures-over-e185-million/,€185M April 2025 equity and debt soft-tissue surgical robot,https://www.eu-startups.com/2025/04/more-than-just-a-robot-surgical-robotics-company-cmr-surgical-secures-over-e185-million/,Cambridge Versius surgical robot
c077,Codeflash,codeflash.ai,1a,1,gh_fork,https://github.com/codeflash-ai,Codeflash LeRobot fork,https://github.com/codeflash-ai,United States
c127,Cognibotics,cognibotics.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/,Industrial arms with kinematics IP
c106,Covariant,covariant.ai,1b,1,vc_portfolio,https://a16z.com/portfolio/,Builds universal AI for robotic automation in warehousing,https://a16z.com/portfolio/,a16z portfolio - manipulation foundation models
c034,Cybernetic Physics,cyberneticphysics.com,1a,1,gh_fork,https://github.com/cybernetic-physics,Physical AI development platform Isaac Lab in the cloud,https://github.com/cybernetic-physics,LeRobot fork
c128,cyngn,cyngn.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/,Industrial autonomous vehicles
c063,DART Labs,,1a,1,gh_fork,https://github.com/dart-labs-inc,DART-GR00T fork of NVIDIA Isaac GR00T N1.5,https://github.com/dart-labs-inc,Isaac-GR00T fork
c235,DEEP Robotics,deeprobotics.cn,1c,1,humanoid_tracker,https://blog.robozaps.com/b/humanoid-robot-companies,Hangzhou China legged robots quadruped DR01 humanoid,https://blog.robozaps.com/b/humanoid-robot-companies,Quadruped industrial inspection
c248,Diligent Robotics,diligentrobots.com,1c,1,industry_news,https://pitchbook.com/profiles/company/161562-79,raised $101M total Moxi hospital service robot,https://pitchbook.com/profiles/company/161562-79,Healthcare service robot
c191,Distalmotion,distalmotion.com,1c,1,funding_news,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,$150M Series D+ Nov 2025,https://newmarketpitch.com/blogs/news/robotics-funding-analysis,Dexter surgical robot Switzerland
c158,Doosan Robotics,doosanrobotics.com,1b,1,rbr50,https://www.therobotreport.com/rbr50-2024/,RBR50 Robotics Innovation Awards 2024 winner,https://www.therobotreport.com/rbr50-2024/,Cobot maker
c032,Dustland,dustland.ai,1a,1,gh_fork,https://github.com/dustland,Engineering Embodied Intelligence; imitation learning HRI,https://github.com/dustland,openpi-related work
c188,Dyna Robotics,dyna.co,1c,1,funding_news,https://www.therobotreport.com/dyna-robotics-closes-120m-funding-round-to-scale-robotics-foundation-model/,$120M Series A foundation model robots restaurants laundromats,https://www.therobotreport.com/dyna-robotics-closes-120m-funding-round-to-scale-robotics-foundation-model/,DYNA-1 foundation model deployed commercial
c069,Eastworld Labs,,1a,1,gh_fork,https://github.com/Eastworld-Labs,Free your Unitree G1 from cable connection Isaac-GR00T fork,https://github.com/Eastworld-Labs,Isaac-GR00T fork
c064,Ebots,ebots.com,1a,1,gh_fork,https://github.com/ebots-inc,Foundation models for humanoid robots Isaac GR00T Cosmos,https://github.com/ebots-inc,United States
