company_id,slug,company_name,domain,one_line_description,founded_year,hq_country,hq_city,region,total_raised_usd,last_round_date,last_round_stage,last_round_size_usd,headcount,headcount_growth_6mo,vla_classification,vla_evidence_type,vla_evidence_url,vla_evidence_quote,models_used,pain_score,pain_signal_url,pain_signal_quote,pain_summary,spend_tier,spend_rationale,vertical,lockin_status,lockin_evidence_url,openness_score,notes,score,tier
c088,chef-robotics,Chef Robotics,chefrobotics.ai,Food assembly robotics for production lines,2019,USA,San Francisco,california,65600000,2025-03,series_a,43100000,134,,vla_possible,,,,custom,0,https://www.chefrobotics.ai/careers,View open positions,Careers page directs to Lever; ChefOS proprietary embodied AI with no open framework signal,b,$65M raised including debt and 100+ headcount but spend tier unclear; food vertical,mobile_manipulator_other,lockin_unknown,,1,ChefOS proprietary; no public VLA signal,32,3
c091,bedrock-robotics,Bedrock Robotics,bedrockrobotics.com,Construction equipment autonomy retrofit,2025,USA,,us_other,350000000,2026-02,series_b,270000000,104,,vla_possible,,,,custom,0,https://bedrockrobotics.com/careers,Loading job openings,Careers page job board didn't render content; no VLA signal seen,a,$350M raised and 100+ headcount with active deployments,mobile_manipulator_other,lockin_unknown,,1,Ex-Waymo founders; construction vertical,42,3
c099,collaborative-robotics,Collaborative Robotics,co.bot,Mobile cobot maker founded by ex-Amazon Robotics VP,2022,USA,,us_other,146000000,,series_b,100000000,122,,vla_possible,,,,custom,0,https://co.bot/careers,growing team of over 122 employees,Stealth-y on technical signals; mobile manipulator vertical with no public VLA signal,a,$146M raised and 122 headcount with active product,mobile_manipulator_warehouse,lockin_unknown,,1,Sequoia/Khosla-backed; little public posture,42,3
c025,cortex-ai,Cortex AI,cortexrobot.ai,Egocentric and robot data marketplace for embodied AI,2025,USA,San Francisco,california,6000000,2025-12,seed,6000000,5,,vla_active,2,https://github.com/cortexairobot/Isaac-GR00T,Isaac-GR00T fork by cortexairobot org,gr00t|lerobot,0,,,No careers page; tiny YC seed team focused on data collection,c,Seed stage YC company with $6M raised and ~5 employees,research_only,lockin_open,https://huggingface.co/cortexairobot,2,YC X25; HF org has 14 datasets active manipulation work,55,2
c001,d-robotics,D-Robotics,d-robotics.cc,Edge AI dev kits with active openpi fork,,China,,international,,,,,,,vla_active,2,https://github.com/D-Robotics/openpi,Add x86 server and training config based official openpi,openpi,0,,,Hardware/SDK provider; no traditional careers page in english,b,Likely subsidiary/spin from Horizon Robotics; funding not publicly tracked separately,research_only,lockin_open,https://github.com/D-Robotics/openpi,2,openpi fork pushed Feb 2026 - active; Horizon Robotics affiliated,65,2
c107,dexterity,Dexterity,dexterity.ai,Warehouse manipulation Physical AI platform,2017,USA,Redwood City,california,291000000,2025-03,series_b,95000000,306,,vla_possible,,,,custom,0,https://www.dexterity.ai/blog,Foresight world model for Physical AI,Proprietary Foresight world model; partnership with NVIDIA for inference 17x speedup,a,$291M raised at $1.65B valuation with 300+ headcount,mobile_manipulator_warehouse,lockin_diy,https://www.dexterity.ai/blog,2,NVIDIA inference partnership 17x speedup suggests custom infra,43,3
c081,fieldai,FieldAI,fieldai.com,Foundation models for embodied robot autonomy,2023,USA,Irvine,california,405000000,2025-08,growth,314000000,,,vla_active,4,https://fieldai.com/careers,blending cutting-edge data-driven techniques with principled mathematical rigor,custom|foundation,1,https://fieldai.com/careers,Model Team; Infrastructure and Software Team,Five team divisions explicitly include Model and Infrastructure teams,a,$405M raised; building Field Foundation Models across humanoids and quadrupeds,humanoid_general,lockin_diy,https://fieldai.com/careers,2,Field Foundation Models proprietary; serves humanoids quadrupeds AVs,70,2
c117,flexion,Flexion,flexion.ai,Synthetic-data humanoid autonomy software,2025,Switzerland,Zurich,international,57350000,2025-11,series_a,50000000,31,,vla_active,4,https://flexion.ai/careers,language-level reasoning vision-language-action motion generation,custom|vla,3,https://flexion.ai/careers,ML Infra Engineer; Research Engineer Generative Humanoid Motion Generation,Multiple AI research engineer reqs plus dedicated ML Infra Engineer role,b,$57M Series A and 31 headcount with explicit VLA stack hiring,humanoid_general,lockin_unknown,https://flexion.ai/careers,2,"Ex-Nvidia founders; explicit VLA language in CEO quote | lockin reclass: single ML-Infra hire is team buildout, not committed DIY",79,1
c005,hebi-robotics,HEBI Robotics,hebirobotics.com,Modular robotics components and SDKs,2014,USA,Pittsburgh,us_other,580000,,seed,,20,,vla_likely,2,https://github.com/HebiRobotics/lerobot,LeRobot fork active April 2025,lerobot,0,,,Small modular hardware vendor; LeRobot fork is most recent April 2025,c,Small ~20-employee hardware/SDK vendor with under $1M tracked funding,research_only,lockin_open,https://github.com/HebiRobotics,1,LeRobot fork pushed 2025-04 - getting stale; hardware-first vendor,40,3
c139,limx-dynamics,LimX Dynamics,limxdynamics.com,Modular humanoid and biped robots with VLA stack,,China,Shenzhen,international,272000000,2026-02,series_b,200000000,,,vla_active,3,https://www.limxdynamics.com/en,FluxVLA Engine Standardized VLA Engineering Foundation,custom|vla,0,,,No careers page in english; visible product stack has FluxVLA,a,$272M raised including $200M Series B; Chinese humanoid scaling,humanoid_general,lockin_diy,https://www.limxdynamics.com/en,2,Active GH org; FluxVLA proprietary engine,65,2
c029,mbodi-ai,mbodi ai,mbodi.ai,Embodied AI agents teach industrial robots,2024,USA,New York,us_other,500000,,seed,500000,,,vla_active,2,https://github.com/mbodiai/embodied-agents,Seamlessly integrate state-of-the-art transformer models into robotics stacks,custom|transformer,0,,,YC X25 very small team; LeRobot fork is 2024 stale,c,YC X25 with $500K seed and tiny team,research_only,lockin_open,https://github.com/mbodiai,2,LeRobot fork stale; embodied-agents repo active Dec 2025,55,2
c114,mind-robotics,Mind Robotics,mindrobotics.com,Industrial AI robots Rivian spinout,2025,USA,Palo Alto,california,615000000,2026-03,series_a,500000000,,,vla_possible,,,,custom,0,https://www.mindrobotics.com/careers,builders who are passionate about robotics,Job listings on Ashby; no public technical signal yet,a,$615M raised across seed and Series A in months since founding,humanoid_industrial,lockin_unknown,,1,Spun out of Rivian Nov 2025; very fresh,42,3
c058,nomagic,Nomagic,nomagic.ai,Warehouse pick-and-place AI robotics,2017,Poland,Warsaw,international,84000000,2026-02,series_b_ext,10000000,,,vla_active,2,https://github.com/nomagiclab/openvla,OpenVLA fork,openvla,1,,Machine Learning Intern; Senior Software Engineer,8 engineering roles including ML Intern but no dedicated infra/MLOps,b,$84M raised; warehouse operator with VLA fork,mobile_manipulator_warehouse,lockin_open,https://github.com/nomagiclab/openvla,2,OpenVLA fork pushed April 2025; expanding to US,70,1
c011,opentrons,Opentrons,opentrons.com,Lab automation liquid handling robots,2013,USA,New York,us_other,261000000,2025-11,series_c,20100000,205,,vla_likely,2,https://github.com/Opentrons/aloha,Aloha fork active July 2025,aloha,0,,,Lab automation pivot signal but no traditional VLA infra hiring in raw repo list,a,$261M raised with 205 headcount and ~$1.8B prior valuation,surgical_medical,lockin_unknown,,1,Aloha fork active 2025; primarily lab/biotech vertical not traditional manipulation,54,2
c144,pickle-robot,Pickle Robot,picklerobot.com,Trailer unloading manipulation robots,,USA,Cambridge,us_other,113000000,2024-11,series_b,50000000,,,vla_possible,,,,custom,0,https://www.picklerobot.com/careers,solving hard technical problems,Careers page links to Lever; planned 50 new engineers by Sept 2025,a,$113M raised; aggressive hiring 50+ new eng with active deployments,mobile_manipulator_warehouse,lockin_unknown,,1,MIT founders; CV+RL emphasis no explicit VLA signal,42,3
c172,sereact,Sereact,sereact.ai,VLA + world model warehouse picking platform,2021,Germany,Stuttgart,international,140000000,2026-04,series_b,110000000,,,vla_active,4,https://theaiinsider.tech/2026/04/27/sereact-raises-110m-in-series-b-funding-to-expand-warehouse-robotics-platform/,Cortex 2.0 combines a vision-language-action model with a world model,custom|vla,0,https://sereact.ai/careers,Speculative Application,Public technical posture mentions VLA but careers page didn't expose specific infra reqs,a,$140M raised with 200+ deployed systems and explicit VLA product,mobile_manipulator_warehouse,lockin_unknown,https://theaiinsider.tech/2026/04/27/sereact-raises-110m-in-series-b-funding-to-expand-warehouse-robotics-platform/,2,Cortex 2.0 explicitly VLA + world model; opening Boston office | lockin reclass: agent had no signal — should be unknown not diy,69,2
c072,ai-foundry,AI Foundry,aifoundry.org,Open ecosystem for AI hardware and inference,,USA,,us_other,,,,,,,vla_likely,2,https://github.com/aifoundry-org/lerobot,SmolVLA inference backend ETARS,smolvla,0,,,Community/open-source initiative not a startup; no funding visible,c,Open-source community initiative not commercial entity,research_only,lockin_open,https://github.com/aifoundry-org,2,LeRobot fork pushed Oct 2025; ETARS targets SmolVLA inference,45,2
c026,almond,Almond,almond.bot,Dual-arm manipulation robot for physical AI,,USA,San Francisco,california,,,,,,,vla_active,2,https://github.com/almond-bot/lerobot,LeRobot fork pushed Oct 2025,lerobot,0,,,Tiny YC-backed hardware startup; no formal careers page,c,YC backed; tiny team building Axol hardware,research_only,lockin_open,https://github.com/almond-bot,2,Axol dual-arm w/ explicit LeRobot bindings; Dogpatch SF,55,2
c035,binabik,Binabik,binabik.ai,"Swiss agentic OS for humanoid robots, pre-seed",,Switzerland,Winterthur,international,40000,2026-02,pre_seed,40000,,,vla_likely,2,https://github.com/binabik-ai,Active Isaac-GR00T fork pushed Jan 2026 plus rosbag MCP tooling,Isaac-GR00T,1,https://binabik.ai/open-positions,Open Positions page exists at /open-positions,Hiring page exists; specific reqs not enumerated in fetch,c,Venture Kick CHF 40K only; very early; small team,humanoid_general,lockin_open,https://github.com/binabik-ai,2,Pre-seed Swiss humanoid OS; Reflex fit if they need GPU inference,50,2
c034,cybernetic-physics,Cybernetic Physics,cyberneticphysics.com,Cloud Isaac Lab simulation platform for robotics policy training,,,,,,,,,,,vla_possible,,https://cyberneticphysics.com,Isaac Lab in the cloud reward discovery and reproducible experiments,Isaac Lab,0,,,No careers signal; product is sim infra not VLA itself,c,Small GH org (8 repos); no public funding; appears early,research_only,lockin_open,https://github.com/cybernetic-physics,1,Sim-infra not policy; Reflex relevance moderate,28,3
c063,dart-labs,DART Labs,,Single Isaac-GR00T fork; barely-active GH org,,,,,,,,,,,vla_likely,2,https://github.com/dart-labs-inc,Single DART-GR00T repo last pushed June 2025,Isaac-GR00T,0,,,No website; only one repo,c,No funding signal; one-repo GH org; very small or stealth,humanoid_general,lockin_unknown,,0,Sparse footprint; single fork; possible side project,29,3
c032,dustland,Dustland,dustland.ai,"Embodied intelligence framework org, broad agentic AI",,,,,,,,,,,vla_likely,2,https://github.com/dustland,63 public repos including embodied AI awesome list and frameworks,custom,0,,,Site 502'd; no careers signal,c,Small org; openviber/agent skills focus broader than robotics,research_only,lockin_open,https://github.com/dustland,2,dustland.ai returned 502; broader agentic AI than pure robotics,45,2
c069,eastworld-labs,Eastworld Labs,,Virtuals Protocol humanoid accelerator with 30+ Unitree G1 fleet,2026,Malaysia,Kuala Lumpur,international,,,,,,,vla_likely,2,https://github.com/Eastworld-Labs,Active Isaac-GR00T-EW fork pushed March 2026 plus Unitree cable code,Isaac-GR00T,0,,,No standard careers; accelerator model,c,Crypto-funded humanoid accelerator (Virtuals Protocol); not a typical VC-backed startup,humanoid_general,lockin_open,https://github.com/Eastworld-Labs,1,Virtuals Protocol crypto-affiliated; KL-based humanoid accelerator,40,3
c064,ebots,Ebots,ebots.com,"Precision-assembly manipulator robotics with foundation-model push, Series A",2016,USA,Fremont,california,15000000,2025-04,series_a,4400000,,,vla_active,2,https://github.com/ebots-inc,Active openpi GR00T-Dreams Cosmos-predict2.5 Isaac-GR00T forks pushed 2026,openpi|Isaac-GR00T|cosmos,1,https://ebots.com/company/,Company page references autonomous robotics for industrial applications,No standard careers URL found; Foxconn FAT milestone Feb 2025,b,$15M raised over 4 rounds; backed by Lam Capital GSR Yamaha; deployed at Foxconn,mobile_manipulator_other,lockin_open,https://github.com/ebots-inc,2,Active 2026 forks of openpi+Cosmos+GR00T strongly indicate VLA stack adoption,70,1
c062,embodyx,EmbodyX,embodyx.io,Stealth Physical-AI startup with active OpenVLA/openpi forks,,USA,,us_other,,,,,,,vla_active,2,https://github.com/embodyx,Active openvla openpi Unitree forks pushed Jan-Feb 2026,openvla|openpi,0,,,Site has minimal content; org appears stealthy,c,No public funding; site is one line; small GH presence,humanoid_general,lockin_open,https://github.com/embodyx,1,Stealth-mode; site is one line; clear VLA focus from forks,50,2
c065,enactic,Enactic,enactic.ai,"Tokyo humanoid care-robot startup, OpenArm hardware platform",2025,Japan,Tokyo,international,,,,,,,vla_possible,3,https://github.com/enactic,OpenArm fully open-source humanoid arm for physical AI research,custom,2,https://enactic.ai/careers/,Research Scientist - AI/Foundation Models; Embedded Software Engineer,Hiring foundation-models researcher and embedded SWE; 7 open roles,c,Founded July 2025; no public funding; pre-product (Ena launches late 2026),humanoid_general,lockin_open,https://github.com/enactic,2,Recent founding; OpenArm hardware open-sourced; care-facility humanoid,45,2
c018,enfuse,Enfuse,enfuse.io,"Edge-VLA models for Physical AI, sub-Jetson deployment",,,,,,,,,,,vla_active,1,https://huggingface.co/enfuse/edgevla-small-fmb,228M parameter edge-optimized Vision-Language-Action model 49% smaller than SmolVLA,custom|smolvla|openvla,0,,,No careers/site signal found,c,No public funding info; small HF presence; appears early,research_only,lockin_jetson_only,https://huggingface.co/enfuse/edgevla-small-fmb,2,Edge VLA focus (Jetson Orin); may not be Reflex's cloud-inference ICP,53,2
c043,extend-robotics,Extend Robotics,extendrobotics.com,"UK VR-teleop platform for robot arms, seed-funded",2019,United Kingdom,Reading,international,884000,2022-11,seed,409000,,,vla_likely,2,https://github.com/Extend-Robotics,69 public repos; active VR retargeting wuji-hand and openvla fork,openvla,0,,,No careers URL surfaced,c,$884K total raised; UK seed; small team,mobile_manipulator_other,lockin_open,https://github.com/Extend-Robotics,2,Teleop-focused; VLA forks present but core product is VR teleop,45,2
