company_id,company_name,domain,origins,source_count,primary_source_type,primary_source_url,primary_source_quote,all_sources,notes
c088,Chef Robotics,chefrobotics.ai,1b|1c,3,vc_portfolio,https://www.constructcap.com/portfolio,Automates food production,https://www.constructcap.com/portfolio;https://www.therobotreport.com/rbr50-2025/;https://www.chefrobotics.ai/post/weve-raised-43-1m-to-accelerate-our-ai-enabled-robot-deployments,Construct Capital portfolio | Food production | Food assembly robotics SF
c091,Bedrock Robotics,bedrockrobotics.com,1b|1c,2,vc_portfolio,https://8vc.com/companies,automating specialized heavy equipment in the construction and earth-moving sectors,https://8vc.com/companies;https://www.constructiondive.com/news/bedrock-robotics-raise-ai-automation-funding/811982/,8VC portfolio - construction autonomy | Ex-Waymo founders construction equipment autonomy
c125,Beewise,beewise.ag,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/;https://agfundernews.com/from-experimentation-to-impact-farm-robotics-top-fundraises-in-2025,Autonomous beehive robotics | Robotic beehive Israeli ag
c116,Carbon Robotics,carbonrobotics.com,1b|1c,2,vc_portfolio,https://agfundernews.com/brief-nvidias-venture-arm-invests-in-autonomous-weeding-startup-carbon-robotics,autonomous laser-weeding platform for specialty crops,https://agfundernews.com/brief-nvidias-venture-arm-invests-in-autonomous-weeding-startup-carbon-robotics;https://newmarketpitch.com/blogs/news/robotics-funding-analysis,NVentures-backed - ag robotics | AI computer vision laser weed elimination
c099,Collaborative Robotics,co.bot,1b,2,vc_portfolio,https://www.sequoiacap.com/our-companies/,backed by Sequoia Capital General Catalyst Khosla Ventures,https://www.sequoiacap.com/our-companies/;https://www.therobotreport.com/rbr50-2025/,Sequoia/Khosla-backed mobile cobot | Mobile cobot
c025,Cortex AI,cortexrobot.ai,1a|1c,2,gh_fork,https://github.com/cortexairobot,Isaac-GR00T and LeRobot dataset visualizer for robot learning,https://github.com/cortexairobot;https://www.startus-insights.com/innovators-guide/embodied-ai-startups/,US; Isaac-GR00T + LeRobot forks | Egocentric data for robotics foundation models
c001,D-Robotics,d-robotics.cc,1a|1c,2,gh_fork,https://github.com/D-Robotics/openpi,Add x86 server and training config based official openpi,https://github.com/D-Robotics/openpi;https://www.therobotreport.com/galbot-brings-in-300m-to-scale-mobile-manipulator-deployments/,China; RDK robotics development kits and ROS2 systems | Hardware/software infrastructure for consumer robots
c107,Dexterity,dexterity.ai,1b,2,vc_portfolio,https://a16z.com/portfolio/,Designs autonomous robots for warehousing and supply chains,https://a16z.com/portfolio/;https://www.therobotreport.com/rbr50-2024/,a16z portfolio - warehouse manipulation | Warehouse manipulation
c081,FieldAI,fieldai.com,1b|1c,2,vc_portfolio,https://www.khoslaventures.com/portfolio/,Transforming industries through on-edge robotic autonomy,https://www.khoslaventures.com/portfolio/;https://techcrunch.com/2025/08/20/fieldai-raises-405m-to-build-universal-robot-brains/,Khosla portfolio - foundation models for robotics | Foundational embodied AI models for any robot
c117,Flexion,flexion.ai,1b|1c,2,vc_portfolio,https://blogs.nvidia.com/blog/nvidia-investments/,applying these same techniques at scale to deploy robots in real-world environments,https://blogs.nvidia.com/blog/nvidia-investments/;https://news.crunchbase.com/venture/robotic-brain-building-startup-flexion-raise/,NVentures-backed | Synthetic data physics simulations robot brain
c005,HEBI Robotics,hebirobotics.com,1a|1b,2,gh_fork,https://github.com/HebiRobotics,LeRobot Making AI for Robotics more accessible,https://github.com/HebiRobotics;https://www.therobotreport.com/rbr50-2025/,United States; APIs for customizable robots | Modular robotics components/SDKs
c139,LimX Dynamics,limxdynamics.com,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,RBR50 Robotics Innovation Awards 2025 winner,https://www.therobotreport.com/rbr50-2025/;https://blog.robozaps.com/b/humanoid-robot-companies,Humanoid/quadruped maker | JD.com investor humanoid bipedal
c029,mbodi ai,mbodi.ai,1a|1b,2,gh_fork,https://github.com/mbodiai,Continual Learning for Embodied Agents; embodied-agents,https://github.com/mbodiai;https://www.therobotreport.com/rbr50-2025/,United States; LeRobot fork | Embodied AI agent platform
c114,Mind Robotics,mindrobotics.com,1b|1c,2,vc_portfolio,https://a16z.com/announcement/investing-in-mind-robotics/,building an industrial robotics platform from the ground up,https://a16z.com/announcement/investing-in-mind-robotics/;https://techcrunch.com/2026/03/11/rivian-mind-robotics-series-a-500m-fund-raise-industrial-ai-powered-robots/,a16z + Accel co-led $500M Series A | Rivian spin-out for industrial AI robots
c142,Mytra,mytra.ai,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,3D lattice storage system that maximizes density,https://www.therobotreport.com/rbr50-2025/;https://mytra.ai/news/mytra-raises-120m-series-c,Warehouse storage robotics; RBR50 Startup of the Year | Warehouse AI material handling platform
c058,Nomagic,nomagic.ai,1a|1b,2,gh_fork,https://github.com/nomagiclab/openvla,OpenVLA an open-source vision-language-action model,https://github.com/nomagiclab/openvla;https://www.khoslaventures.com/portfolio/,Poland; warehouse picking Physical AI | Khosla portfolio - warehouse manipulation
c011,Opentrons,opentrons.com,1a|1b,2,gh_fork,https://github.com/Opentrons,Lab robots for Biologists,https://github.com/Opentrons;https://www.khoslaventures.com/portfolio/,United States; lab automation; LeRobot fork | Khosla portfolio - lab automation
c144,Pickle Robot,picklerobot.com,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2025/,Pickle Robot unloads more than 1.5M lb of Randa apparel,https://www.therobotreport.com/rbr50-2025/;https://www.globenewswire.com/news-release/2025/06/24/3104110/0/en/Pickle-Robot-Hires-New-VP-of-Engineering-Adding-50-New-Engineers-by-September-as-Warehouse-Robotics-Demand-Surges.html,Trailer unloading manipulation | Truck unloading warehouse robotics
c094,Saronic,saronic.com,1b|1c,2,vc_portfolio,https://8vc.com/companies,unmanned surface vehicles that enable maritime security,https://8vc.com/companies;https://www.businessstory.org/2026/03/31/autonomous-vessel-startup-saronic-secures-1-75-billion-in-competition-to-upgrade-u-s-armed-forces/,8VC portfolio - maritime USVs | Autonomous surface vessels naval
c172,Sereact,sereact.ai,1b|1c,2,rbr50,https://www.therobotreport.com/rbr50-2024/,RBR50 Robotics Innovation Awards 2024 winner,https://www.therobotreport.com/rbr50-2024/;https://theaiinsider.tech/2026/04/27/sereact-raises-110m-in-series-b-funding-to-expand-warehouse-robotics-platform/,Pick-and-place AI software | Cortex 2.0 warehouse robotics platform Germany
c100,Shield AI,shield.ai,1b|1c,2,vc_portfolio,https://a16z.com/american-dynamism-50-2025/,Enables military drones and aircraft to operate autonomously,https://a16z.com/american-dynamism-50-2025/;https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech/,a16z American Dynamism 50 | Hivemind autonomy stack across drones aircraft
c072,AI Foundry,aifoundry.org,1a,1,gh_fork,https://github.com/aifoundry-org,Open ecosystem of shareable building blocks; LeRobot fork,https://github.com/aifoundry-org,United States
c026,Almond,almond.bot,1a,1,gh_fork,https://github.com/almond-bot,Robotic manipulation Axol IK solver and Axol-VR teleoperation,https://github.com/almond-bot,United States; LeRobot fork
c061,ARTEFACTS,artefacts.com,1a,1,gh_fork,https://github.com/art-e-fact,Isaac GR00T fork - cloud robotics simulation testing platform,https://github.com/art-e-fact,Japan
c067,Astria,astria.ai,1a,1,gh_fork,https://github.com/astriaai,Stable Diffusion fine-tuning Dreambooth; LeRobot fork,https://github.com/astriaai,LeRobot fork
c060,Aurorain,,1a,1,gh_fork,https://github.com/aurorain-ai,Data-centric AI engineering platform; LeRobot fork,https://github.com/aurorain-ai,United States
c023,BAAI,baai.ac.cn,1a,1,hf_model_card,https://huggingface.co/BAAI/RoboBrain2.0-7B,RoboBrain2.0 series VLA models 3B 7B 32B,https://huggingface.co/BAAI/RoboBrain2.0-7B,Beijing Academy of AI; commercial-adjacent foundation
c035,Binabik,binabik.ai,1a,1,gh_fork,https://github.com/binabik-ai,Building the foundations of Agentic Physical AI,https://github.com/binabik-ai,Switzerland; Isaac-GR00T fork
c077,Codeflash,codeflash.ai,1a,1,gh_fork,https://github.com/codeflash-ai,Codeflash LeRobot fork,https://github.com/codeflash-ai,United States
c034,Cybernetic Physics,cyberneticphysics.com,1a,1,gh_fork,https://github.com/cybernetic-physics,Physical AI development platform Isaac Lab in the cloud,https://github.com/cybernetic-physics,LeRobot fork
c063,DART Labs,,1a,1,gh_fork,https://github.com/dart-labs-inc,DART-GR00T fork of NVIDIA Isaac GR00T N1.5,https://github.com/dart-labs-inc,Isaac-GR00T fork
c032,Dustland,dustland.ai,1a,1,gh_fork,https://github.com/dustland,Engineering Embodied Intelligence; imitation learning HRI,https://github.com/dustland,openpi-related work
c069,Eastworld Labs,,1a,1,gh_fork,https://github.com/Eastworld-Labs,Free your Unitree G1 from cable connection Isaac-GR00T fork,https://github.com/Eastworld-Labs,Isaac-GR00T fork
c064,Ebots,ebots.com,1a,1,gh_fork,https://github.com/ebots-inc,Foundation models for humanoid robots Isaac GR00T Cosmos,https://github.com/ebots-inc,United States
c062,EmbodyX,embodyx.io,1a,1,gh_fork,https://github.com/embodyx,Physical AI for the Real World VLA models for manipulation,https://github.com/embodyx,United States; openvla fork
c065,Enactic,enactic.ai,1a,1,gh_fork,https://github.com/enactic,Enactic LeRobot fork end-to-end robotics learning,https://github.com/enactic,Japan
c018,Enfuse,enfuse.io,1a,1,hf_model_card,https://huggingface.co/enfuse/edgevla-small-fmb,enfuse edgevla-small-fmb Robotics VLA model,https://huggingface.co/enfuse/edgevla-small-fmb,Edge VLA models for Physical AI
c043,Extend Robotics,extendrobotics.com,1a,1,gh_fork,https://github.com/Extend-Robotics,Robotic platforms and teleoperation with Vision Pro tracking,https://github.com/Extend-Robotics,UK; openvla fork
c033,Forerunner.ai,forerunner.ai,1a,1,gh_fork,https://github.com/forerunnerai,Isaac GR00T fork; AI infrastructure and robotics technologies,https://github.com/forerunnerai,United States
c048,FrodoBots,frodobots.com,1a,1,gh_fork,https://github.com/frodobots-org,Earth rover SDK; teleoperation and AI-powered robotics,https://github.com/frodobots-org,LeRobot fork
c079,General Intelligence Labs,,1a,1,gh_fork,https://github.com/General-Intelligence-Labs,Building the perception-action stack of embodied intelligence,https://github.com/General-Intelligence-Labs,United States
c046,General Robotics,generalrobotics.company,1a,1,gh_fork,https://github.com/GenRobo,Isaac GR00T N1.6 fork humanoid foundation model,https://github.com/GenRobo,United States
c040,Generative Bionics,gbionics.ai,1a,1,gh_fork,https://github.com/gbionics,Robotics dynamics control and robot learning amplifying humans,https://github.com/gbionics,Italy; LeRobot fork
c027,Genesis AI,genesis-ai.company,1a,1,gh_fork,https://github.com/Genesis-Embodied-AI,Generative world for general-purpose robotics and embodied AI learning,https://github.com/Genesis-Embodied-AI,Genesis simulator; LeRobot fork
c016,GigaAI,gigaai.cc,1a,1,hf_org,https://huggingface.co/open-gigaai,GigaBrain Vision Language Action models for robotics,https://huggingface.co/open-gigaai,HF org; CVPR 2026 RoboTwin track host
c055,HCLTech Robotics,hcltech.com,1a,1,gh_fork,https://github.com/hcltech-robotics,HCLTech Robotics LeRobot fork,https://github.com/hcltech-robotics,India; enterprise services arm
c015,Hebbian Robotics,hebbianrobotics.com,1a,1,hf_model_card,https://huggingface.co/Hebbian-Robotics/pi05_subtask,pi05_subtask Hebbian Robotics fine-tune,https://huggingface.co/Hebbian-Robotics/pi05_subtask,Real-time inference engine for openpi
c050,Industrialnext,industrialnext.com,1a,1,gh_fork,https://github.com/industrialnext,LeRobot MuJoCo and robotics frameworks for industrial automation,https://github.com/industrialnext,United States; 40 robotics repos
c059,IntBot,intbot.ai,1a,1,gh_fork,https://github.com/intbotinc,Voice AI agents and physical AI inference for robotics,https://github.com/intbotinc,United States; LeRobot fork
c041,Intempus,intempus.org,1a,1,gh_fork,https://github.com/Intempus-Inc,pathOS emotional intelligence for machines; building emotional robots,https://github.com/Intempus-Inc,United States; LeRobot fork
c074,io-ai.tech,io-ai.tech,1a,1,gh_fork,https://github.com/ioai-tech,IO-AI.tech LeRobot fork,https://github.com/ioai-tech,LeRobot fork
c024,K-Scale Labs,kscale.dev,1a,1,gh_fork,https://github.com/kscalelabs,EdgeVLA an open-source edge vision-language-action model for robotics,https://github.com/kscalelabs,United States; humanoid/RL focus
c045,KinesthetIQ,kinesthetiq.com,1a,1,gh_fork,https://github.com/NavIQLabs,Foundation models for robotics; openpi ViNT Isaac GR00T forks,https://github.com/NavIQLabs,India; multiple foundation-model forks
c028,Lucky Robots,luckyrobots.com,1a,1,gh_fork,https://github.com/luckyrobots,Data Generation For Robotics AI; LuckyEngine simulation,https://github.com/luckyrobots,United States; LeRobot fork
c049,Menlo Research,menlo.ai,1a,1,gh_fork,https://github.com/menloresearch,Asimov open source humanoid robot platform; thinking machines,https://github.com/menloresearch,Singapore; Isaac-GR00T fork
c054,ML6,ml6.eu,1a,1,gh_fork,https://github.com/ml6team,LeRobot Worldwide hackathon 2025,https://github.com/ml6team,Belgium; AI consultancy
c076,NeuroGrip,,1a,1,gh_fork,https://github.com/NeuroGrip,openvla and TinyVLA forks for robotic manipulation,https://github.com/NeuroGrip,VLA forks
c004,Niryo Robotics,niryo.com,1a,1,gh_fork,https://github.com/NiryoRobotics,LeRobot Making AI for Robotics more accessible with end-to-end learning,https://github.com/NiryoRobotics,France; 6-axis cobots for industrial and education
c010,Orbbec,orbbec.com,1a,1,gh_fork,https://github.com/orbbec,Orbbec depth-sensing camera SDKs with ROS robotics integration,https://github.com/orbbec,United States; LeRobot fork
c012,phospho,phospho.ai,1a,1,gh_fork,https://github.com/phospho-app,The AI robotics company,https://github.com/phospho-app,France; openvla & openpi forks; phosphobot for SO-100/SO-101
c003,Pollen Robotics,pollen-robotics.com,1a,1,gh_fork,https://github.com/pollen-robotics/lerobot,LeRobot End-to-end Learning for Real-World Robotics,https://github.com/pollen-robotics/lerobot,France; Reachy 2 / Mini SDKs
c039,Positronic Robotics,positronic.ro,1a,1,gh_fork,https://github.com/Positronic-Robotics,Python-native stack for real-life ML robotics,https://github.com/Positronic-Robotics,Isaac-GR00T fork
c071,Qrafty AI,qrafty-ai.com,1a,1,gh_fork,https://github.com/qrafty-ai,Qrafty AI LeRobot fork,https://github.com/qrafty-ai,United States
c030,Rerun,rerun.io,1a,1,gh_fork,https://github.com/rerun-io,SDK for visualizing multimodal data for robotics,https://github.com/rerun-io,Sweden; LeRobot fork
c014,RLWRLD,rlwrld.ai,1a,1,gh_fork,https://github.com/RLWRLD,LeRobot Isaac-GR00T and openpi forks,https://github.com/RLWRLD,Korea; multiple VLA-related forks
c002,Robotec.ai,robotec.ai,1a,1,gh_fork,https://github.com/RobotecAI/openvla,OpenVLA an open-source vision-language-action model for robotic manipulation,https://github.com/RobotecAI/openvla,Poland; RAI agentic framework for Physical AI
c007,ROBOTIS,robotis.com,1a,1,gh_fork,https://github.com/ROBOTIS-GIT,ROBOTIS Official GitHub - Dynamixel TurtleBot3 OpenManipulator Cyclo,https://github.com/ROBOTIS-GIT,Korea; Cyclo Physical AI framework
c037,SatiNav Robotics,satinavrobotics.com,1a,1,gh_fork,https://github.com/satinavrobotics,Modular Robotics and Autonomous Navigation Company,https://github.com/satinavrobotics,Hungary; openpi (satipi) fork
c070,Servo Develop / Fashion Star,fashionrobo.com,1a,1,gh_fork,https://github.com/servodevelop,Fashion Star LeRobot fork,https://github.com/servodevelop,China; servos vendor
c047,Solo Tech,getsolo.tech,1a,1,gh_fork,https://github.com/GetSoloTech,Extended robotics framework on top of LeRobot for Solo training,https://github.com/GetSoloTech,United States; LeRobot fork
c038,Spes Robotics,spes.ai,1a,1,gh_fork,https://github.com/SpesRobotics,R&D firm for autonomous mobile robots and cobots,https://github.com/SpesRobotics,LeRobot fork
c066,TeamGRIT,teamgrit.kr,1a,1,gh_fork,https://github.com/teamgrit-lab,Quadruped robot challenges and teleop devices LeRobot fork,https://github.com/teamgrit-lab,Seoul Korea
c068,TechShare,techshare.co.jp,1a,1,gh_fork,https://github.com/TechShare-inc,TechShare LeRobot fork,https://github.com/TechShare-inc,Japan
c078,TeleAI / TeleHuman,,1a,1,gh_fork,https://github.com/TeleHuman,TeleAI Humanoid Robot Research Team LeRobot fork,https://github.com/TeleHuman,China; TeleAI is China Telecom AI division
c022,Tencent,tencent.com,1a,1,hf_model_card,https://huggingface.co/tencent/HY-Embodied-0.5-X,HY-Embodied-0.5-X embodied robotics model,https://huggingface.co/tencent/HY-Embodied-0.5-X,Tencent corporate HF org
c056,TII,tii.ae,1a,1,gh_fork,https://github.com/tiiuae/openvla-internal,OpenVLA an open-source vision-language-action model,https://github.com/tiiuae/openvla-internal,Abu Dhabi UAE; openvla fork
c013,Tommoro Robotics,tommoro.ai,1a,1,gh_fork,https://github.com/Tommoro-AI,NVIDIA Isaac GR00T N1.5 fork - humanoid foundation model,https://github.com/Tommoro-AI,Korea; SNU spinout; HABILIS RFM
c044,Transistor Robotics,,1a,1,gh_fork,https://github.com/transistor-robotics,Leaders in artificial intelligence solutions for humanoid robotics,https://github.com/transistor-robotics,Japan; openpi fork for Pi VLA training
c006,Trossen Robotics,trossenrobotics.com,1a,1,gh_fork,https://github.com/TrossenRobotics,Educational research and professional level robotic development platforms,https://github.com/TrossenRobotics,United States; also Interbotix brand
c073,Tuul AI,tuul.ai,1a,1,gh_fork,https://github.com/tuul-ai,tuul.ai LeRobot fork,https://github.com/tuul-ai,Germany
c008,UFACTORY,ufactory.cc,1a,1,gh_fork,https://github.com/xArm-Developer,Robotic Arm Manufacturer Collaborative Robots,https://github.com/xArm-Developer,China; xArm; LeRobot integration
c042,ugo,ugo.plus,1a,1,gh_fork,https://github.com/ugo-plus,ugo Pro integration for LeRobot; imitation learning,https://github.com/ugo-plus,Tokyo; LeRobot fork
c036,Vassar Robotics,vassarrobotics.com,1a,1,gh_fork,https://github.com/vassar-robotics,Open-source semi-humanoid developer kit for home autonomy,https://github.com/vassar-robotics,United States; YC-backed; LeRobot fork
